iter	MultiClass
0	6.462692193
1	6.429170319
2	6.39817318
3	6.36413276
4	6.334471369
5	6.296052947
6	6.265191428
7	6.236966312
8	6.204627704
9	6.177297943
10	6.146181918
11	6.117103302
12	6.089635339
13	6.060043811
14	6.030012262
15	5.997792693
16	5.968783151
17	5.938222774
18	5.909732144
19	5.886502106
20	5.859789427
21	5.830971
22	5.803406773
23	5.771127362
24	5.744547655
25	5.717978456
26	5.692406206
27	5.665496842
28	5.640146834
29	5.61458004
30	5.590734739
31	5.564242707
32	5.539251571
33	5.513262309
34	5.486622896
35	5.463999533
36	5.442189368
37	5.417957017
38	5.391100279
39	5.367181316
40	5.344423569
41	5.321571896
42	5.298077572
43	5.275286405
44	5.250669691
45	5.228973414
46	5.203779834
47	5.178475132
48	5.153287621
49	5.128075863
50	5.104356254
51	5.078833148
52	5.059135914
53	5.037116326
54	5.01605878
55	4.995302001
56	4.977532299
57	4.95765998
58	4.934951164
59	4.917612851
60	4.896503881
61	4.874710306
62	4.850257311
63	4.828993754
64	4.805504507
65	4.78535849
66	4.767315992
67	4.74461634
68	4.722266524
69	4.706112235
70	4.688796302
71	4.668202036
72	4.64955746
73	4.630595555
74	4.608082176
75	4.590315612
76	4.569289889
77	4.549885679
78	4.527502625
79	4.511335417
80	4.491122979
81	4.468382787
82	4.446740692
83	4.429803942
84	4.408353436
85	4.38577893
86	4.36934754
87	4.349600608
88	4.331931804
89	4.311830182
90	4.292200944
91	4.272588998
92	4.253446066
93	4.238907547
94	4.22058828
95	4.199911189
96	4.186713237
97	4.167753211
98	4.149955608
99	4.130197441
100	4.1112118
101	4.102263929
102	4.08366443
103	4.062651354
104	4.044985072
105	4.027627996
106	4.011374325
107	3.991751988
108	3.973405668
109	3.953150576
110	3.934854041
111	3.915037494
112	3.902536185
113	3.889345114
114	3.873696494
115	3.855575335
116	3.839399622
117	3.818497453
118	3.801603514
119	3.787426832
120	3.779125293
121	3.770955178
122	3.758043288
123	3.743796572
124	3.735351751
125	3.721434012
126	3.704769559
127	3.697240963
128	3.689179668
129	3.678486536
130	3.665531114
131	3.65036694
132	3.638200433
133	3.632558266
134	3.617599497
135	3.616592326
136	3.602556966
137	3.601402842
138	3.58576703
139	3.576820595
140	3.560882148
141	3.544333404
142	3.533409131
143	3.517584334
144	3.500921918
145	3.485251547
146	3.478790274
147	3.472633322
148	3.459352258
149	3.45135637
150	3.446473063
151	3.430002311
152	3.418683214
153	3.403941073
154	3.387856026
155	3.380225633
156	3.371372334
157	3.36342017
158	3.354952947
159	3.345914864
160	3.339431728
161	3.324512077
162	3.310039164
163	3.308424117
164	3.299719152
165	3.28671272
166	3.274360303
167	3.262449037
168	3.250294591
169	3.239866423
170	3.228722935
171	3.224523256
172	3.213857616
173	3.197312373
174	3.193386397
175	3.178312171
176	3.162968346
177	3.15189866
178	3.150086679
179	3.132627126
180	3.123403479
181	3.112653199
182	3.102743267
183	3.09902297
184	3.098647353
185	3.082989433
186	3.076808564
187	3.068608966
188	3.057478545
189	3.045507881
190	3.035625978
191	3.018864304
192	3.009553243
193	3.009134431
194	3.00010936
195	2.986742307
196	2.9735113
197	2.962852504
198	2.953963428
199	2.939916906
200	2.930635787
201	2.917399853
202	2.902186262
203	2.891568842
204	2.883920147
205	2.876863969
206	2.86524532
207	2.862834124
208	2.851010233
209	2.838441069
210	2.830948535
211	2.821746052
212	2.818479885
213	2.80937421
214	2.800010587
215	2.789312898
216	2.778663748
217	2.773112192
218	2.766908242
219	2.760613989
220	2.749737536
221	2.739384154
222	2.732372921
223	2.720681277
224	2.70947285
225	2.695838176
226	2.679083731
227	2.671973591
228	2.663786044
229	2.651119666
230	2.642769868
231	2.630035316
232	2.615591794
233	2.611643572
234	2.605549418
235	2.596491433
236	2.590574193
237	2.5779246
238	2.567723132
239	2.552400143
240	2.542986159
241	2.531375118
242	2.520299029
243	2.508103165
244	2.494876058
245	2.48503638
246	2.479205016
247	2.474436842
248	2.463762707
249	2.456488355
250	2.447105554
251	2.437785194
252	2.427585577
253	2.419671039
254	2.416477734
255	2.406616188
256	2.394057945
257	2.386062326
258	2.376342001
259	2.367393553
260	2.354815386
261	2.340693212
262	2.332957087
263	2.320499982
264	2.312539182
265	2.30633337
266	2.296964131
267	2.288337722
268	2.277421426
269	2.271420842
270	2.259922925
271	2.256258868
272	2.250933214
273	2.24280826
274	2.231884794
275	2.223764639
276	2.223393446
277	2.220488841
278	2.210587969
279	2.203348506
280	2.192276366
281	2.180195503
282	2.170029458
283	2.165061025
284	2.155981541
285	2.145194686
286	2.136840533
287	2.129414317
288	2.120815974
289	2.112042272
290	2.098480755
291	2.086516136
292	2.079600037
293	2.071904875
294	2.070281447
295	2.059828549
296	2.052508452
297	2.045178428
298	2.044000407
299	2.036751667
300	2.026529857
301	2.023298993
302	2.014473928
303	2.011368388
304	2.00243841
305	1.995709512
306	1.990330972
307	1.985817253
308	1.976220011
309	1.967813554
310	1.962363324
311	1.95043882
312	1.944429535
313	1.944048215
314	1.938186803
315	1.927283885
316	1.921562336
317	1.911422144
318	1.903165059
319	1.898590036
320	1.888880436
321	1.879445957
322	1.874013637
323	1.862437195
324	1.853882317
325	1.851333187
326	1.842346135
327	1.833155534
328	1.827877479
329	1.823419621
330	1.818584363
331	1.814302299
332	1.809070686
333	1.802432976
334	1.791636164
335	1.784675248
336	1.778988143
337	1.775021712
338	1.767307855
339	1.762006666
340	1.758888794
341	1.751917555
342	1.745898043
343	1.736937949
344	1.728150131
345	1.72244748
346	1.713157331
347	1.704944647
348	1.696141241
349	1.684475615
350	1.676799709
351	1.67364595
352	1.666402847
353	1.657679465
354	1.651081752
355	1.648467832
356	1.645579445
357	1.640787239
358	1.633741629
359	1.625415413
360	1.619902291
361	1.612877667
362	1.605489404
363	1.599148644
364	1.590751027
365	1.589010022
366	1.579776218
367	1.575560343
368	1.566681543
369	1.561823457
370	1.555184393
371	1.548378326
372	1.541552218
373	1.53379722
374	1.526852082
375	1.51814574
376	1.509282808
377	1.504060308
378	1.500241199
379	1.49500491
380	1.486588067
381	1.478760445
382	1.472567787
383	1.464569959
384	1.457496123
385	1.449924724
386	1.443342445
387	1.440807145
388	1.433604126
389	1.430013668
390	1.421130611
391	1.418313838
392	1.410865886
393	1.402868455
394	1.39541851
395	1.389956454
396	1.386262949
397	1.382783027
398	1.375281941
399	1.36897042
400	1.366570851
401	1.360131365
402	1.352392621
403	1.343966794
404	1.338549556
405	1.333669961
406	1.327022389
407	1.323573833
408	1.315899754
409	1.310753307
410	1.305658985
411	1.302101894
412	1.296955743
413	1.293468009
414	1.287515522
415	1.28288133
416	1.275577277
417	1.268525724
418	1.263870398
419	1.259212165
420	1.253561909
421	1.245414951
422	1.241269834
423	1.239034528
424	1.234091493
425	1.231532675
426	1.229990342
427	1.225329733
428	1.22017347
429	1.216989661
430	1.213590969
431	1.208173748
432	1.201502947
433	1.195524282
434	1.189805001
435	1.185080449
436	1.177018215
437	1.174875524
438	1.169010362
439	1.164733471
440	1.158396807
441	1.154101578
442	1.149660554
443	1.143158121
444	1.139776365
445	1.138078131
446	1.133213487
447	1.126911423
448	1.12241344
449	1.116790627
450	1.112283923
451	1.107145132
452	1.102459012
453	1.096854747
454	1.093423879
455	1.088845407
456	1.083835707
457	1.078383965
458	1.072745487
459	1.068329953
460	1.062949833
461	1.057160808
462	1.052852793
463	1.048593634
464	1.043776497
465	1.038364013
466	1.034279027
467	1.032025454
468	1.026951437
469	1.023246619
470	1.017823859
471	1.013042487
472	1.007550257
473	1.001820847
474	0.9981723369
475	0.9947629432
476	0.9903350869
477	0.9863708345
478	0.982160407
479	0.9776051113
480	0.9737535228
481	0.9679168916
482	0.9635399015
483	0.9604171069
484	0.9582145718
485	0.952969774
486	0.950376814
487	0.9479731644
488	0.9466988901
489	0.9437946001
490	0.940557563
491	0.9349975524
492	0.9313193729
493	0.9261131785
494	0.921387996
495	0.9181394715
496	0.9145979408
497	0.9122305463
498	0.9076042586
499	0.9061832578
500	0.9012441032
501	0.8966499965
502	0.8928893923
503	0.8888294135
504	0.883597925
505	0.8793152699
506	0.8745288491
507	0.8705860012
508	0.8681492263
509	0.8654768912
510	0.8605292097
511	0.8578005831
512	0.8544408099
513	0.8504939999
514	0.8478467034
515	0.8445592742
516	0.8407112941
517	0.8368443162
518	0.8316585563
519	0.8272611984
520	0.8238875815
521	0.8201130144
522	0.8175977467
523	0.8150063418
524	0.8115609001
525	0.8091101964
526	0.805837895
527	0.8023946651
528	0.7988427987
529	0.7957679499
530	0.7928789641
531	0.7884377732
532	0.7855874168
533	0.7830057974
534	0.7796981461
535	0.7787615062
536	0.7749094188
537	0.7723861818
538	0.7690713076
539	0.7656333346
540	0.7610218134
541	0.7583361143
542	0.7545077226
543	0.7504250978
544	0.7473813073
545	0.7438081876
546	0.7394531271
547	0.7366224921
548	0.7340688113
549	0.7307602429
550	0.7271563946
551	0.7247354323
552	0.7207738099
553	0.7185627088
554	0.7147893077
555	0.7133556389
556	0.710270626
557	0.7079628348
558	0.7066626975
559	0.7039135289
560	0.7028303184
561	0.7004388395
562	0.6988548206
563	0.6962858351
564	0.6947949095
565	0.6928790429
566	0.6895116603
567	0.6861078524
568	0.6824611539
569	0.6791522558
570	0.6765639019
571	0.6741099246
572	0.6711250609
573	0.6681487961
574	0.6652218182
575	0.6615079662
576	0.6585181742
577	0.6558328114
578	0.6525884089
579	0.6498624121
580	0.6482068507
581	0.6457021721
582	0.6425057325
583	0.6391674702
584	0.6375795979
585	0.6352562651
586	0.6326654359
587	0.6304319803
588	0.6279157009
589	0.6249591488
590	0.6220790736
591	0.6198129142
592	0.6187705466
593	0.6170809608
594	0.6149949251
595	0.6135492117
596	0.6123821197
597	0.6097911834
598	0.6070917854
599	0.6044509908
600	0.6013893608
601	0.6002790427
602	0.5979865013
603	0.5952661657
604	0.5939842283
605	0.5908028749
606	0.5882146082
607	0.5862616389
608	0.5837791308
609	0.5815074566
610	0.5793058069
611	0.5765999936
612	0.5739908195
613	0.5718129219
614	0.5697314466
615	0.5678034637
616	0.565012057
617	0.5620982255
618	0.5606596727
619	0.5582642051
620	0.5555905395
621	0.5544955364
622	0.5523676882
623	0.5495110705
624	0.548050438
625	0.5454866656
626	0.5439462643
627	0.5423181211
628	0.5399192474
629	0.5375618629
630	0.5350715898
631	0.532512047
632	0.5307219447
633	0.5284314533
634	0.5256447659
635	0.5235680834
636	0.5213462505
637	0.5197657293
638	0.5177516192
639	0.516159956
640	0.5149074381
641	0.5134376175
642	0.5116253082
643	0.5098842355
644	0.5073876433
645	0.5056162262
646	0.5038680063
647	0.50240442
648	0.5007009609
649	0.4984491669
650	0.4968949404
651	0.4950637874
652	0.4929549301
653	0.4913757686
654	0.4894215475
655	0.4878170546
656	0.4871402505
657	0.4856020956
658	0.4837756655
659	0.4818483608
660	0.480074111
661	0.4786347934
662	0.4775857025
663	0.4759281584
664	0.4740881355
665	0.4723532923
666	0.4711150552
667	0.4695262553
668	0.4683284531
669	0.4662370474
670	0.4651577502
671	0.464577851
672	0.4625439207
673	0.460904603
674	0.4590972689
675	0.4569691789
676	0.4551219075
677	0.4538062973
678	0.4520207913
679	0.4506761794
680	0.4496876179
681	0.4482169311
682	0.4473980587
683	0.4460213305
684	0.4454296118
685	0.4438907698
686	0.4429123697
687	0.4413756331
688	0.4400157479
689	0.4382583293
690	0.4368417718
691	0.4354679368
692	0.4349520227
693	0.4336521675
694	0.432137022
695	0.4306718843
696	0.4291755239
697	0.4275309868
698	0.4258627237
699	0.4242973084
700	0.4225367527
701	0.4210744363
702	0.4195312723
703	0.4181396944
704	0.4169273689
705	0.4153875091
706	0.4142611831
707	0.4131251272
708	0.4113617507
709	0.4110543752
710	0.4092176227
711	0.40794351
712	0.4067686519
713	0.4051145798
714	0.4039705901
715	0.403007943
716	0.4013828747
717	0.4005233038
718	0.3994620445
719	0.3985132533
720	0.3978077152
721	0.3966302821
722	0.3954317097
723	0.3941475735
724	0.3928670762
725	0.3919314945
726	0.3912097511
727	0.3899885506
728	0.3891252025
729	0.3879493674
730	0.3869421008
731	0.3859424155
732	0.3849312414
733	0.3840074583
734	0.3827165101
735	0.3814985553
736	0.3811830094
737	0.3798911041
738	0.3789575363
739	0.3781766299
740	0.3770689693
741	0.3762541705
742	0.3752201552
743	0.3740796498
744	0.3733631045
745	0.3723223426
746	0.3715853398
747	0.3710519572
748	0.3695412197
749	0.368408924
750	0.3677023733
751	0.3663306061
752	0.3653907755
753	0.364218368
754	0.3636497733
755	0.3626084136
756	0.3616492005
757	0.360343216
758	0.3593128049
759	0.358183043
760	0.3573918935
761	0.3562232759
762	0.3556719332
763	0.354632853
764	0.3536802872
765	0.3526477628
766	0.3521678567
767	0.3510032585
768	0.3502919345
769	0.3491350128
770	0.348265166
771	0.3468770339
772	0.3456579914
773	0.3443784133
774	0.3434711863
775	0.3430105752
776	0.3420925113
777	0.3410139074
778	0.3398254719
779	0.3392962013
780	0.338414014
781	0.337211037
782	0.3360631825
783	0.3353325984
784	0.3346001236
785	0.3339996063
786	0.3328547565
787	0.3319523584
788	0.3312621569
789	0.3306676962
790	0.3298336779
791	0.3288565749
792	0.3277142308
793	0.3268217429
794	0.325630358
795	0.3251710623
796	0.3242114103
797	0.3230775015
798	0.32236009
799	0.3213793201
800	0.3208929286
801	0.3205058893
802	0.319772298
803	0.3193163094
804	0.318298899
805	0.3171318308
806	0.3164450814
807	0.3156419435
808	0.3147920378
809	0.3135773923
810	0.3127514004
811	0.3119480368
812	0.3108840577
813	0.3103610193
814	0.3096162569
815	0.3089399091
816	0.3081892409
817	0.3072758631
818	0.3063588011
819	0.3055628389
820	0.3047815778
821	0.3039811037
822	0.3033012001
823	0.3025389111
824	0.3017168796
825	0.3010987637
826	0.3000754145
827	0.2994230231
828	0.2988964067
829	0.2980433206
830	0.2975420945
831	0.2968888419
832	0.2963652671
833	0.2956160633
834	0.294720321
835	0.2943637258
836	0.2934208952
837	0.2927269129
838	0.2920942263
839	0.291136256
840	0.29038509
841	0.2896387146
842	0.2889241568
843	0.2885137562
844	0.2876736824
845	0.2869416239
846	0.2861627522
847	0.2856270867
848	0.2853474389
849	0.2843496881
850	0.2835435797
851	0.2831028347
852	0.2827448937
853	0.2822369887
854	0.2816027853
855	0.280844284
856	0.2802247656
857	0.2796071841
858	0.2787162245
859	0.2780761024
860	0.2773459175
861	0.2766676897
862	0.2761380324
863	0.2756384642
864	0.2749870453
865	0.2745130233
866	0.2739165205
867	0.273448067
868	0.2728509487
869	0.2720316357
870	0.2712058338
871	0.2707834471
872	0.2704915696
873	0.2699323329
874	0.2694038799
875	0.2687736825
876	0.2682715849
877	0.2675508808
878	0.2667953546
879	0.2662883671
880	0.2660056895
881	0.2654829045
882	0.2650532386
883	0.2645617769
884	0.264030613
885	0.2632832346
886	0.2628989943
887	0.2622367212
888	0.261720497
889	0.2611498875
890	0.2607230913
891	0.2602564617
892	0.2597742805
893	0.2592946141
894	0.2586682481
895	0.2582227732
896	0.2577621727
897	0.2571604381
898	0.2566739375
899	0.2561445877
900	0.255415162
901	0.2548776892
902	0.2544680322
903	0.2539500853
904	0.2534755657
905	0.2527866543
906	0.2524836013
907	0.2520402126
908	0.2516141061
909	0.251012634
910	0.2503876262
911	0.2496555313
912	0.2491440255
913	0.2487297828
914	0.2482085462
915	0.2476690338
916	0.247080844
917	0.2465067853
918	0.2457962791
919	0.2454475406
920	0.2447199848
921	0.24441063
922	0.2437205275
923	0.2431165342
924	0.2426405056
925	0.2421285943
926	0.2416579977
927	0.2411435013
928	0.2405661487
929	0.2399399497
930	0.2395734893
931	0.2391015156
932	0.2384307001
933	0.2378558941
934	0.2374905553
935	0.2371427621
936	0.2365141035
937	0.2360149749
938	0.2355270073
939	0.2350749504
940	0.2344464867
941	0.2338536278
942	0.2333728147
943	0.2328055983
944	0.2323285094
945	0.2318279035
946	0.2313804646
947	0.2306755045
948	0.2301329605
949	0.2296774407
950	0.2291972902
951	0.22874324
952	0.228215465
953	0.2275634879
954	0.2271615005
955	0.2268314091
956	0.2262653906
957	0.2259525667
958	0.2254224147
959	0.2249515374
960	0.2245897592
961	0.2241561144
962	0.2236578253
963	0.2235186082
964	0.2231155026
965	0.2227343992
966	0.2223492211
967	0.2218519019
968	0.2213929549
969	0.22113094
970	0.2208895571
971	0.2205033808
972	0.2200744746
973	0.2197445873
974	0.2191616566
975	0.218911126
976	0.2185211776
977	0.2182435127
978	0.2180440884
979	0.2176251737
980	0.2170784487
981	0.2166225697
982	0.2161603212
983	0.2156821506
984	0.215429896
985	0.2151129269
986	0.2147025
987	0.2144759751
988	0.2139832649
989	0.2137039634
990	0.2134813711
991	0.213039758
992	0.2125661203
993	0.2121866975
994	0.2118753231
995	0.2115532894
996	0.2112361622
997	0.2109163041
998	0.210500047
999	0.210058265
